Year,Violations
2001,2
2002,0
2003,1
2004,1
2005,4
2006,28
2007,18
2008,3
2009,9
2010,15
2011,3
2012,11
2013,29
2014,79
2015,61
2016,58
2017,82
2018,106
2019,73
2020,82
