YEAR,Total
2001,0
2002,0
2003,0
2004,1
2005,1
2006,44
2007,39
2008,35
2009,23
2010,20
2011,3
2012,14
2013,35
2014,32
2015,43
2016,17
2017,33
2018,63
2019,87
2020,66
