CD/State,Num per 1000,Region
IN9,641.7445482866044,Congressional District
KS1,430.67590987868283,Congressional District
KS2,415.11500547645124,Congressional District
KS3,89.24205378973105,Congressional District
KS4,162.43654822335026,Congressional District
KY1,1703.1930333817127,Congressional District
KY2,1250.4051863857374,Congressional District
KY4,748.1481481481482,Congressional District
KY5,1768.1737588652481,Congressional District
KY6,1370.262390670554,Congressional District
LA1,1460.5781865965835,Congressional District
LA2,1629.4458229942102,Congressional District
LA3,1983.3574529667148,Congressional District
LA4,3615.7283288650583,Congressional District
LA5,3264.337508239947,Congressional District
LA6,2280.7394668959587,Congressional District
MA1,308.31973898858075,Congressional District
MA2,904.1095890410959,Congressional District
MA3,293.57798165137615,Congressional District
MA4,526.9978401727861,Congressional District
MA5,376.0217983651226,Congressional District
MA6,247.0817120622568,Congressional District
MA7,105.74018126888218,Congressional District
MA8,401.7278617710583,Congressional District
MA9,314.2857142857143,Congressional District
MD1,1028.2447881640887,Congressional District
MD2,685.61872909699,Congressional District
MD3,408.28402366863907,Congressional District
MD4,528.5714285714286,Congressional District
MD6,807.8994614003591,Congressional District
MD7,525.0,Congressional District
MD8,808.1761006289308,Congressional District
ME1,483.61934477379094,Congressional District
ME2,653.9473684210526,Congressional District
MI1,6755.474452554745,Congressional District
MI10,5793.871866295264,Congressional District
MI11,3409.722222222222,Congressional District
MI12,6150.684931506849,Congressional District
MI13,9862.5,Congressional District
MI14,5885.245901639344,Congressional District
MI2,4675.373134328358,Congressional District
MI3,6014.634146341464,Congressional District
MI4,6608.5626911314985,Congressional District
MI5,6576.576576576576,Congressional District
MI6,7286.6894197952215,Congressional District
MI7,8614.649681528663,Congressional District
MI8,3271.375464684015,Congressional District
MI9,1986.013986013986,Congressional District
MN1,347.31934731934734,Congressional District
MN2,542.3728813559322,Congressional District
MN3,161.29032258064515,Congressional District
MN5,86.95652173913044,Congressional District
MN6,1212.5,Congressional District
MN7,641.025641025641,Congressional District
MN8,467.35395189003435,Congressional District
MO1,1219.3732193732194,Congressional District
MO2,1666.2011173184358,Congressional District
MO3,3915.9393661001377,Congressional District
MO4,3577.4647887323945,Congressional District
MO5,1344.9131513647642,Congressional District
MO6,2673.4947237740535,Congressional District
MO7,2625.0742721330957,Congressional District
MO8,3938.058748403576,Congressional District
MP0,6371.428571428572,Congressional District
MS1,629.7948260481713,Congressional District
MS2,1002.1321961620469,Congressional District
MS3,632.2992700729927,Congressional District
MS4,562.929061784897,Congressional District
MT0,1158.3054626532887,Congressional District
NC1,306.35838150289015,Congressional District
NC10,686.8686868686868,Congressional District
NC11,811.5942028985507,Congressional District
NC12,109.33333333333333,Congressional District
NC13,449.4773519163763,Congressional District
NC3,701.271186440678,Congressional District
NC4,229.38144329896906,Congressional District
NC5,478.59922178988325,Congressional District
NC6,360.5263157894737,Congressional District
NC7,584.7665847665847,Congressional District
NC8,865.3366583541147,Congressional District
NC9,441.6243654822335,Congressional District
NE1,1546.485260770975,Congressional District
NE2,1178.5714285714287,Congressional District
NE3,1421.2076583210603,Congressional District
NH1,261.4942528735632,Congressional District
NH2,365.0075414781297,Congressional District
NJ1,1653.3333333333333,Congressional District
NJ10,1496.7320261437908,Congressional District
NJ11,1339.7190293742017,Congressional District
NJ12,1181.5336463223787,Congressional District
NJ2,1461.4003590664272,Congressional District
NJ3,1057.2419774501302,Congressional District
NJ4,1103.1652989449003,Congressional District
NJ5,1119.1335740072202,Congressional District
NJ6,1812.1911037891268,Congressional District
NJ7,1258.7859424920127,Congressional District
NJ9,1697.0172684458398,Congressional District
NM1,136.11111111111111,Congressional District
NM2,277.9316712834718,Congressional District
NM3,824.3243243243244,Congressional District
NV1,31.29890453834116,Congressional District
NV2,75.8873929008568,Congressional District
NV3,12.318840579710145,Congressional District
NV4,11.019283746556473,Congressional District
NY1,2605.8201058201057,Congressional District
NY10,1160.0,Congressional District
NY11,2305.5555555555557,Congressional District
NY12,3563.3802816901407,Congressional District
NY13,11833.333333333334,Congressional District
NY14,3507.4626865671644,Congressional District
NY15,6675.0,Congressional District
NY16,3882.3529411764707,Congressional District
NY17,2400.8097165991903,Congressional District
NY18,2703.125,Congressional District
NY19,3113.868613138686,Congressional District
NY2,3075.8928571428573,Congressional District
NY20,2844.9612403100773,Congressional District
NY21,3336.7741935483873,Congressional District
NY22,2456.4007421150277,Congressional District
NY24,2571.1297071129707,Congressional District
NY25,1439.655172413793,Congressional District
NY26,2575.0,Congressional District
NY27,2822.3801065719363,Congressional District
NY3,1841.1764705882354,Congressional District
NY4,3404.040404040404,Congressional District
NY5,4705.882352941177,Congressional District
NY6,2000.0,Congressional District
