Year,Violations
2001,1679
2002,1856
2003,2217
2004,2201
2005,2432
2006,2323
2007,3146
2008,3768
2009,3948
2010,3751
2011,3777
2012,3293
2013,3511
2014,3099
2015,3051
2016,3214
2017,2895
2018,2884
2019,3207
2020,3225
2021,1
