Date,Sum
2010,61627927.519738
2011,60165556.12493498
2012,58061351.26607399
2013,54182359.783999994
2014,57363455.413999975
2015,52659941.762999974
2016,54506141.522999994
2017,51446226.72299997
2018,45909645.78899998
