Program,State,CD,Facilities,Percent
CAA,IL,,36,0.23637557452396585
CWA,IL,,2067,26.736515327900662
RCRA,IL,,260,1.3121372697451426
CAA,IL,12,7,0.717948717948718
CWA,IL,12,243,36.160714285714285
RCRA,IL,12,47,5.114254624591948
