YEAR,Total
2001,69
2002,89
2003,89
2004,180
2005,331
2006,573
2007,454
2008,468
2009,339
2010,199
2011,198
2012,186
2013,219
2014,331
2015,330
2016,552
2017,494
2018,532
2019,491
2020,359
2021,2
