Year,Violations
2001,16
2002,18
2003,32
2004,23
2005,28
2006,50
2007,61
2008,53
2009,56
2010,85
2011,133
2012,151
2013,130
2014,235
2015,366
2016,449
2017,415
2018,488
2019,582
2020,498
