YEAR,Total
2001,1051
2002,1845
2003,2500
2004,3718
2005,4306
2006,4818
2007,5333
2008,5921
2009,5039
2010,5682
2011,4696
2012,4147
2013,5021
2014,5584
2015,6216
2016,6992
2017,7521
2018,7790
2019,6842
2020,5350
2021,16
