YEAR,Total
2001,72
2002,123
2003,238
2004,324
2005,392
2006,579
2007,673
2008,673
2009,523
2010,507
2011,465
2012,391
2013,424
2014,471
2015,342
2016,341
2017,431
2018,272
2019,310
2020,265
2021,1
