Date,Count
2001,29
2002,37
2003,31
2004,45
2005,51
2006,72
2007,70
2008,42
2009,62
2010,73
2011,60
2012,36
2013,31
2014,13
2015,21
2016,14
2017,23
2018,37
2019,18
2020,10
