YEAR,Total
2001,19
2002,9
2003,8
2004,9
2005,9
2006,9
2007,8
2008,8
2009,8
2010,11
2011,11
2012,10
2013,10
2014,7
2015,11
2016,20
2017,44
2018,36
2019,128
2020,81
