Date,Count
2001,4
2002,11
2003,17
2004,14
2005,11
2006,16
2007,14
2008,24
2009,23
2010,11
2011,12
2012,3
2013,3
2014,2
2015,5
2016,3
2017,2
2018,3
2019,7
2020,3
