YEAR,Total
2001,0
2002,12
2003,13
2004,29
2005,69
2006,52
2007,190
2008,169
2009,246
2010,459
2011,884
2012,551
2013,608
2014,487
2015,1439
2016,2125
2017,2481
2018,2747
2019,3452
2020,3117
