Year,Violations
2001,334
2002,397
2003,389
2004,469
2005,446
2006,321
2007,298
2008,342
2009,359
2010,460
2011,380
2012,315
2013,331
2014,313
2015,245
2016,268
2017,438
2018,358
2019,399
2020,310
2021,4
