,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
58031,JUDSON ISD,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110062645963,29.611746000000004,-98.338461
73199,CITY OF KERRVILLE - WASTEWATER PLANT,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000502885,30.025278000000004,-99.111667
1313,GRUENE WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110039694541,29.738028000000003,-98.106056
36411,CITY OF BLANCO WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110009779221,30.102611,-98.408694
40175,THE CROSSING AT HAVENWOOD WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110064603558,29.777222,-98.058333
57228,LARRY CHISUM CONSTRUCTION CONCRETE BATCH PLANT,11,,http://echo.epa.gov/detailed-facility-report?fid=110024812372,29.751658000000006,-99.587248
30179,JOHNSON RANCH WWTF,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110067179047,29.75107,-98.4218
105451,CITY OF BANDERA,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010746773,29.726927000000003,-99.065336
21544,TRICON PRECAST NEW BRAUNFELS,10,,http://echo.epa.gov/detailed-facility-report?fid=110037519147,29.636044,-98.263706
50843,SAN MARCOS NATIONAL FISH HATCHERY AND TECHNOLOGY CENTER,10,,http://echo.epa.gov/detailed-facility-report?fid=110035089971,29.85016,-97.98435
71425,CITY OF FREDERICKSBURG WASTEWATER TREATMENT PLANT,10,,http://echo.epa.gov/detailed-facility-report?fid=110000503615,30.253889,-98.846944
105115,SAN MARCOS PLANT,10,,http://echo.epa.gov/detailed-facility-report?fid=110031110562,29.80618,-98.01004
18440,CITY OF JOHNSON CITY,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009779579,30.285917,-98.402111
32461,CANYON PARK ESTATES WWTP,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009781165,29.889333,-98.220361
37483,BOERNE WWT AND RECYCLING CENTER,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110037518709,29.77277,-98.7142
34420,101 COLORADO UNDERGROUND PARKING GARAGE,8,,http://echo.epa.gov/detailed-facility-report?fid=110042374999,30.26375,-97.74586
63961,GULF ENERGY EXPLORATION CORPORATION,8,,http://echo.epa.gov/detailed-facility-report?fid=110043477564,30.26627,-97.78036
71214,HILL COUNTRY CAMP WWTP,8,,http://echo.epa.gov/detailed-facility-report?fid=110033799272,30.11566,-99.15453
49696,W HOTLE BLOCK 21,7,,http://echo.epa.gov/detailed-facility-report?fid=110035762822,30.26528,-97.7465
41731,JETHRO LANE LOADING SITE,6,,http://echo.epa.gov/detailed-facility-report?fid=110064514930,29.61878,-98.32892
