Date,Count
2001,7
2002,3
2003,3
2004,2
2005,1
2006,3
2007,2
2008,1
2009,2
2010,0
2011,0
2012,1
2013,1
2014,2
2015,9
2016,5
2017,10
2018,10
2019,4
