Year,Violations
2001,253
2002,504
2003,999
2004,1512
2005,1755
2006,2204
2007,2440
2008,2269
2009,1992
2010,2087
2011,2326
2012,1925
2013,1558
2014,1509
2015,1585
2016,1491
2017,1580
2018,1703
2019,1637
2020,1038
