YEAR,Total
2001,14
2002,16
2003,54
2004,73
2005,101
2006,250
2007,307
2008,381
2009,380
2010,454
2011,426
2012,358
2013,393
2014,379
2015,215
2016,226
2017,228
2018,329
2019,322
2020,268
2021,3
