Year,Violations
2001,333
2002,321
2003,233
2004,248
2005,242
2006,409
2007,461
2008,465
2009,440
2010,601
2011,750
2012,643
2013,705
2014,899
2015,1014
2016,1162
2017,1020
2018,923
2019,1360
2020,1286
