YEAR,Total
2001,36
2002,24
2003,15
2004,56
2005,176
2006,254
2007,371
2008,254
2009,249
2010,302
2011,189
2012,191
2013,268
2014,292
2015,301
2016,288
2017,398
2018,346
2019,429
2020,441
