YEAR,Total
2001,119
2002,118
2003,131
2004,136
2005,96
2006,70
2007,75
2008,240
2009,219
2010,128
2011,105
2012,73
2013,89
2014,139
2015,170
2016,197
2017,113
2018,96
2019,78
2020,43
