Year,Violations
2001,182
2002,177
2003,214
2004,222
2005,230
2006,220
2007,229
2008,414
2009,552
2010,591
2011,527
2012,506
2013,581
2014,669
2015,495
2016,488
2017,449
2018,527
2019,659
2020,583
2021,4
