YEAR,Total
2001,1903
2002,1825
2003,1913
2004,1693
2005,1365
2006,1192
2007,1142
2008,1157
2009,1177
2010,734
2011,670
2012,559
2013,477
2014,677
2015,588
2016,495
2017,632
2018,1067
2019,1170
2020,1080
2021,1
