YEAR,Total
2001,260
2002,329
2003,323
2004,331
2005,362
2006,331
2007,458
2008,514
2009,540
2010,367
2011,404
2012,490
2013,592
2014,465
2015,411
2016,335
2017,373
2018,281
2019,342
2020,351
