Year,Violations
2001,99
2002,138
2003,179
2004,93
2005,120
2006,134
2007,103
2008,75
2009,65
2010,89
2011,47
2012,65
2013,77
2014,67
2015,92
2016,124
2017,171
2018,279
2019,410
2020,357
