Year,Violations
2001,211
2002,258
2003,326
2004,419
2005,555
2006,763
2007,939
2008,1308
2009,2014
2010,2734
2011,3374
2012,5149
2013,4786
2014,4333
2015,5522
2016,4436
2017,3885
2018,3371
2019,4307
2020,3430
2021,6
