YEAR,Total
2001,217
2002,258
2003,380
2004,443
2005,503
2006,563
2007,476
2008,483
2009,406
2010,584
2011,398
2012,516
2013,649
2014,917
2015,1005
2016,1104
2017,813
2018,816
2019,880
2020,793
