Year,Violations
2001,24
2002,17
2003,25
2004,12
2005,21
2006,10
2007,10
2008,23
2009,36
2010,66
2011,25
2012,24
2013,88
2014,49
2015,40
2016,316
2017,375
2018,423
2019,252
2020,231
