YEAR,Total
2001,7066
2002,7731
2003,8589
2004,9873
2005,10757
2006,9562
2007,9060
2008,8992
2009,8813
2010,8385
2011,6464
2012,6353
2013,6132
2014,6661
2015,7364
2016,7304
2017,7458
2018,7959
2019,8160
2020,6665
2021,43
