Date,Count
2001,31
2002,6
2003,12
2004,25
2005,18
2006,18
2007,28
2008,35
2009,52
2010,44
2011,29
2012,25
2013,16
2014,24
2015,17
2016,15
2017,14
2018,18
2019,17
2020,6
