Date,Count
2001,42
2002,58
2003,49
2004,98
2005,52
2006,100
2007,88
2008,53
2009,97
2010,52
2011,93
2012,53
2013,93
2014,58
2015,53
2016,35
2017,55
2018,63
2019,55
2020,38
