Date,Sum_District,Sum_State
2010,36391315.15526499,156329590.81125587
2011,34788071.256,164079497.8788981
2012,33177133.385926,150474744.18651813
2013,33060353.011999995,153559067.7249999
2014,27143192.392999995,144831726.38699996
2015,24975890.130000003,135075866.67772993
2016,21645135.956999995,128490874.96425998
2017,21911838.313,126515214.26700002
2018,22263802.816000007,123510257.25789097
