YEAR,Total
2001,6
2002,8
2003,2
2004,0
2005,2
2006,5
2007,9
2008,12
2009,37
2010,21
2011,62
2012,52
2013,45
2014,55
2015,54
2016,120
2017,164
2018,156
2019,130
2020,123
