Year,Violations
2001,6
2002,14
2003,18
2004,32
2005,36
2006,33
2007,25
2008,140
2009,130
2010,72
2011,60
2012,30
2013,119
2014,155
2015,143
2016,107
2017,70
2018,61
2019,46
2020,40
