YEAR,Total
2001,212
2002,216
2003,288
2004,353
2005,442
2006,530
2007,542
2008,503
2009,402
2010,383
2011,204
2012,182
2013,170
2014,149
2015,112
2016,115
2017,162
2018,170
2019,127
2020,99
