Date,Count
2001,20
2002,6
2003,3
2004,5
2005,4
2006,7
2007,8
2008,10
2009,11
2010,23
2011,15
2012,11
2013,11
2014,5
2015,5
2016,4
2017,5
2018,6
2019,3
