YEAR,Total
2001,9
2002,3
2003,10
2004,14
2005,9
2006,11
2007,17
2008,9
2009,2
2010,11
2011,20
2012,13
2013,9
2014,23
2015,20
2016,32
2017,52
2018,65
2019,71
2020,89
