Year,Violations
2001,558
2002,620
2003,800
2004,1224
2005,1534
2006,1811
2007,1880
2008,2741
2009,2850
2010,2815
2011,2341
2012,2295
2013,2659
2014,2483
2015,2073
2016,2142
2017,2390
2018,2536
2019,3202
2020,2468
2021,8
