Year,Violations
2001,127
2002,97
2003,71
2004,77
2005,73
2006,73
2007,56
2008,61
2009,75
2010,183
2011,216
2012,127
2013,83
2014,81
2015,140
2016,151
2017,143
2018,162
2019,138
2020,88
