YEAR,Total
2001,26
2002,43
2003,35
2004,30
2005,24
2006,36
2007,18
2008,15
2009,14
2010,18
2011,17
2012,13
2013,15
2014,11
2015,48
2016,183
2017,26
2018,73
2019,185
2020,228
2021,3
