YEAR,Total
2001,681
2002,690
2003,793
2004,741
2005,664
2006,699
2007,763
2008,721
2009,767
2010,747
2011,719
2012,758
2013,739
2014,866
2015,516
2016,547
2017,707
2018,1494
2019,1203
2020,816
