YEAR,Total
2001,376
2002,342
2003,347
2004,310
2005,382
2006,294
2007,259
2008,220
2009,217
2010,295
2011,272
2012,307
2013,330
2014,220
2015,202
2016,197
2017,252
2018,156
2019,182
2020,158
