YEAR,Total
2001,204
2002,236
2003,204
2004,237
2005,244
2006,298
2007,273
2008,389
2009,443
2010,466
2011,480
2012,571
2013,795
2014,799
2015,926
2016,1037
2017,1116
2018,1169
2019,1253
2020,1020
2021,4
