Year,Violations
2001,0
2002,0
2003,3
2004,8
2005,25
2006,80
2007,176
2008,219
2009,313
2010,353
2011,632
2012,348
2013,557
2014,699
2015,1334
2016,1687
2017,2062
2018,2709
2019,3404
2020,2981
