Date,Count
2001,62
2002,29
2003,49
2004,29
2005,58
2006,87
2007,55
2008,26
2009,57
2010,37
2011,33
2012,41
2013,57
2014,65
2015,54
2016,36
2017,57
2018,47
2019,68
2020,20
