YEAR,Total
2001,53
2002,51
2003,33
2004,22
2005,19
2006,22
2007,12
2008,36
2009,69
2010,131
2011,89
2012,84
2013,109
2014,138
2015,82
2016,261
2017,318
2018,298
2019,354
2020,210
