YEAR,Total
2001,1
2002,14
2003,22
2004,12
2005,32
2006,25
2007,13
2008,11
2009,7
2010,14
2011,145
2012,66
2013,28
2014,19
2015,31
2016,37
2017,42
2018,59
2019,153
2020,147
