Date,Count
2001,137
2002,127
2003,139
2004,130
2005,102
2006,125
2007,128
2008,128
2009,133
2010,89
2011,98
2012,114
2013,101
2014,70
2015,59
2016,40
2017,56
2018,40
2019,52
2020,42
