YEAR,Total
2001,172
2002,209
2003,332
2004,419
2005,485
2006,356
2007,471
2008,599
2009,673
2010,601
2011,668
2012,609
2013,670
2014,404
2015,327
2016,319
2017,251
2018,348
2019,431
2020,351
