Year,Violations
2001,144
2002,170
2003,264
2004,391
2005,566
2006,921
2007,1579
2008,2142
2009,2803
2010,3778
2011,5996
2012,5540
2013,7372
2014,7167
2015,14893
2016,19647
2017,21153
2018,25656
2019,33463
2020,31040
