Year,Violations
2001,24
2002,24
2003,0
2004,6
2005,82
2006,232
2007,306
2008,321
2009,288
2010,277
2011,128
2012,116
2013,216
2014,252
2015,334
2016,325
2017,413
2018,492
2019,616
2020,471
