Date,Amount,Count
2001,1439900,22
2002,182200,13
2003,174800,12
2004,37700,8
2005,112150,9
2006,61700,13
2007,120400,9
2008,52787,17
2009,573100,32
2010,25525,11
2011,77100,12
2012,52350,6
2013,28750,6
2014,6800,3
2015,6200,4
2016,90175,16
2017,84000,7
2018,128950,12
2019,56500,11
