Year,Violations
2001,125
2002,106
2003,64
2004,83
2005,116
2006,64
2007,121
2008,205
2009,181
2010,173
2011,198
2012,141
2013,150
2014,179
2015,182
2016,172
2017,302
2018,768
2019,956
2020,1229
