YEAR,Total
2001,442
2002,843
2003,945
2004,1525
2005,2328
2006,2409
2007,2896
2008,2932
2009,2647
2010,2442
2011,2608
2012,1933
2013,1709
2014,1795
2015,1532
2016,1311
2017,1283
2018,1246
2019,1103
2020,916
